"Policy Area","Sub Area","Old Topic","New Topic","Title (for model laws include the word ""Model"" in title)","Short Title (only for Exemplary)","Current Link to Bill","Bill Number","Year (if unknown for Model look at effective date - use same year if July/prior year if January)","Source","Source Website","State (multiple states separated by a comma) ","Format (Model, Exemplary, Support)","Level (State, County, Municipal)","Type (Bill, Act/Ordinance, Executive Order, Referendum, Administrative Rule, Constitutional Amendment, Report, Other)","Current Link to Asset","Web Folder Link to PDF","Web Folder Link to Word Doc","Summary","Alternative Terms","Legislative History","Notes"
"Government Performance","Government Accountability","ALEC Accountability Act","ALEC Accountability Act","2011 Wisconsin Assembly Bill 621",,,,2011,"Wisconsin Legislature ","http://legis.wisconsin.gov/Pages/default.aspx","Wisconsin ","Exemplary","State","Bill","https://docs.legis.wisconsin.gov/2011/related/proposals/ab621","www.alicelaw.org/Web_Folder/Government_Performance/Government_Accountability/2011_Wisconsin_Assembly_Bill.pdf",,"An act which extends the reporting requirements for legislators who 
receive anything worth more than $50 in value to include the receipt of a
""scholarships"" given to legislators, which permit them to attend 
meetings or conferences; also requires any person who provides anything 
of value to legislators to file a report with the government 
accountability board.","Pay to Play, Government Accountability, ","https://docs.legis.wisconsin.gov/2011/proposals/ab621",
"Government Performance","Government Procurement and Contracting","Anti-Expatriate Companies in Gov Contracting","Anti-Expatriate Companies in Gov Contracting","Taxpayer and Shareholder Protection Act 2003 Model Law",,,,2003,"Center for Policy Alternatives",,,"Model",,"Act/Ordinance",,"www.alicelaw.org/Web_Folder/Government_Performance",,,,,
"Government Performance","Government Procurement and Contracting","Anti-Expatriate Companies in Gov Contracting","Anti-Expatriate Companies in Gov Contracting","2003 California Chapter 657","Taxpayer and Shareholder Protection Act of 2003","http://www.leginfo.ca.gov/pub/03-04/bill/sen/sb_0601-0650/sb_640_bill_20030221_introduced.pdf","2003 California Senate Bill 640",2003,"California Legislature","http://www.legislature.ca.gov/","California","Exemplary","State","Act/Ordinance","http://www.leginfo.ca.gov/pub/03-04/bill/sen/sb_0601-0650/sb_640_bill_20031002_chaptered.pdf","www.alicelaw.org/Web_Folder/Government_Performance/Government_Procurement_And_Contracting/2003_California_Chapter_657.pdf",,"This bill prohibits the state from entering into any contract with a publicly traded foreign incorporated entity  
or its subsidiary if that business meets certain conditions that would make it an expatriate company (a domestic 
corporation or partnership that incorporated in a foreign jurisdiction in name only). The bill would permit the chief executive officer of a state agency to waive the prohibition and contract with an expatriate company upon a written finding of ""compelling public interest,"" as defined.","Expatriate Companies, Off Shoring, Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development,","http://www.leginfo.ca.gov/pub/03-04/bill/sen/sb_0601-0650/sb_640_bill_20031002_history.html",
"Government Performance","Government Procurement and Contracting","Anti-Expatriate Companies in Gov Contracting","Anti-Expatriate Companies in Gov Contracting","Treasurer Angelides Lauds Governor's Signing Signing of Toughest in the Nation Legislation to Halt State Contracting with Expatriate Firms that Flee U.S. Soil",,,,2003,"California Office of the State Treasurer ","http://www.treasurer.ca.gov/","California","Support","State","Other","http://www.treasurer.ca.gov/news/releases/2003/20031002expatriate.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,"Press release regarding the signing of an act to prohibit the State of California from contracting with any publicly held, runaway U.S. corporations that have “expatriated,” or moved their place of incorporation – in name only – to tax havens like Bermuda and the Cayman Islands to avoid taxes and weaken shareholder rights","Expatriate Companies, Off Shoring, Government Contract, Public Contract,
Government Procurement, Service Contracts, Economic Development,",,
"Government Performance","Government Procurement and Contracting","Anti-Sweatshop Goods in Government Procurement","Anti-Sweatshop Procurement Policies","Model Code of Conduct and Sweatfree Procurement Policy 5.0",,,,2008,"Sweatfree Communities","http://www.sweatfree.org/",,"Model","State, County, Municipal","Act/Ordinance ","http://www.sweatfree.org/resources_modelcode","www.alicelaw.org/Web_Folder/Government_Performance",,"A model ordinance that requires governments procure goods from responsible employers that provide fair wages and living conditions rather than sweatshops.","Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development, Sweat Shop",,
"Government Performance","Government Procurement and Contracting","Anti-Sweatshop Goods in Government Procurement","Anti-Sweatshop Procurement Policies","2003 Milwaukee Ordinance 310-17","Procurement of Various Items",,,2003,"Milwaukee Common Council","http://city.milwaukee.gov/CommonCouncil","Wisconsin","Exemplary","Municipal","Act/Ordinance ","www.sweatfree.org/policies/Milwaukee_policy.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,"This ordinance provides that all contracting departments shall award contracts in excess of $5000related to the purchasing, renting, laundering and dry cleaning of items of apparel to contractorsand subcontractors who are able to provide for the fulfillment of the contracts fromestablishments able to demonstrate compliance with all applicable laws regarding wages andbenefits, workplace health and safety, forced and child labor and freedom of association. Therequirements of this ordinance may be waived under certain conditions.","Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development, Sweat Shop",,
"Government Performance","Government Procurement and Contracting","Anti-Sweatshop Goods in Government Procurement","Anti-Sweatshop Procurement Policies","1999 Bangor Maine Clean Clothes Policy Resolution",,,,1999,"Bangor City Council","http://www.bangormaine.gov/index.php?id=243&sub_id=219","Maine","Exemplary","Municipal","Other","http://www.ilsr.org/rule/purchasing-preferences/2170-2/","www.alicelaw.org/Web_Folder/Government_Performance",,"purchasing policy, establishing guidelines for buying clothing, footwear and other products from ""responsible contractors."" Bidders to supply items such as police and fire uniforms, footwear and recreational equipment will be asked a series of questions: Where are the goods made? Is child or forced labor used there? Has the manufacturing facility been determined to have violated international labor standards? Are unions allowed? What are the wages like? The city then takes this information into account as one factor in deciding who gets the city’s business. ","Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development, Sweat Shop",,
"Government Performance","Government Procurement and Contacting","Best Value Contracting","Best Value Contracting","2007 Madison Legislative File Number 5139",,,,2007,"Madison City Council","http://www.cityofmadison.com/council/","Wisconsin","Exemplary","Municipal","Act/Ordinance","http://madison.legistar.com/ViewReport.ashx?M=R&N=Text&GID=205&ID=1096031&GUID=DB8FB547-E34A-4852-B3C0-8D88E076FD8B&Title=Legislation+Text","www.alicelaw.org/Web_Folder/Government_Performance",,"An ordinance adopting procedures known as best value contracting for public construction contracts and projects accepting TIF financing. ","Best Value Contracting, TIF, Government Contracting","http://madison.legistar.com/ViewReport.ashx?M=R&N=Master&GID=205&ID=1058438&GUID=E4F7935D-CA88-4DCF-BDE5-DC6287763CC8&Title=Legislation+Details",
"Government Performance","Government Procurement and Contacting","Buy American","Buy American","2012 Nebraska Legislative Bill 923","Nebraska Buy American Act",,,2012,"Nebraska Legislature","http://nebraskalegislature.gov/","Nebraska","Exemplary","State","Bill","http://nebraskalegislature.gov/FloorDocs/Current/PDF/Intro/LB923.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,"An act that would require that public works contracts by state agencies contain provisions that the manufactured goods used or supplied in performance of the contract be made in the United States. The act would not apply if American-made goods were not available in sufficient quantity or if the purchase of American-made goods would increase the cost of a contract by more than 10 percent.","Local Procurement, Government Procurement, Government Contracting, ","http://nebraskalegislature.gov/bills/view_bill.php?DocumentID=15444",
"Government Performance","Government Procurement and Contacting","Buy American","Buy American","""Buy American"" Bill Introduced",,,,2012,"Lincoln Journal Star","http://journalstar.com/","Nebraska","Support","State","Other","http://journalstar.com/news/unicameral/buy-american-bill-introduced/article_34246e88-2274-542d-8283-0e7ac795e343.html","www.alicelaw.org/Web_Folder/Government_Performance",,"A newspaper article discussing the introduction of Nebraska's Buy American Act. ","Local Procurement, Government Procurement, Government Contracting,",,
"Government Performance","Government Procurement and Contacting","Buy American","Buy American"," 2005 New Jersey Chapter 92",,"http://www.njleg.state.nj.us/2004/Bills/S0500/494_I1.PDF","2004 New Jersey Senate Bill 494",2004,"New Jersey Legislature","http://www.njleg.state.nj.us/","New Jersey","Exemplary","State","Act/Ordinance","http://www.njleg.state.nj.us/2004/Bills/PL05/92_.PDF","www.alicelaw.org/Web_Folder/Government_Performance",,"This bill requires every state contract which is primarily for the performance of services to provide that all of the services performed under the contract or any subcontract of the contract be performed inthe United States. The bill exempts a State contract in any case whereit is found and certified that the service is required and cannot beprovided by a contractor or subcontractor within the United States.The bill requires the State Treasurer to review all non-completed,non-terminated, State contracts which are primarily for theperformance of services to determine whether any of the services arebeing performed outside of the United States and report his findingsto the Governor, the Legislature and the public within 180 days afterthe effective date of the bill.","Local Procurement, Government Procurement, Government Contracting,",,"Cannot link to NJ Bill History"
"Government Performance","Government Procurement and Contracting","Cooperative Procurement ","Cooperative Procurement","Model Procurement Code for State and Local Governments",,,,2000,"National Association of State Procurement Officials","http://www.naspo.org",,"Model","State, County, Municipal","Act/Ordinance, Report","http://www.naspo.org/documents/Cooperative_Purchasing0410update.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,"A report and model statute on cooperative procurement, a system where two or more governments, or two or more government purchasing units purchase goods under the same contract in order to obtain the best value. ","Government Contract, Public Contract, Government Procurement",,
"Government Performance","Government Procurement and Contacting","State contract services performed in U.S.","Evidence-Based Privatization","2004 New Jersey House Bill 318",,,,2004,"New Jersey Legislature","http://www.njleg.state.nj.us/","New Jersey","Exemplary","State","Bill","http://www.njleg.state.nj.us/2004/Bills/A0500/318_I1.HTM","www.alicelaw.org/Web_Folder/Government_Performance",,"An act in which the Legislature finds that
using private contractors to provide public services formerly provided by State employees, or which are substantially similar to and in lieu of services heretofore provided, or that could be provided, in whole or in part, by State employees, does not always promote the public interest. To ensure that citizens of the State receive high quality public service at a fair cost, and to ensure fair treatment of those State
employees who have been providing the public services, the
Legislature finds it necessary to regulate the circumstances which may result in the awarding of public service contracts to private business entities, and to require that no decision regarding the privatization of any service provided by the State should be made without a careful
evaluation of the long term impact of the privatization on the State, its citizens and its employees. No agency of the State shall enter into a privatization contract and no such contract shall be valid unless it complies with the conditions set forth in this act.","Local Procurement, Government Procurement, Government Contracting, Off-shoring, Outsourcing ",,"Cannot link to NJ Bill History"
"Government Performance","Government Procurement and Contracting","Performance Contracting/ Evidence-based Privatization/ Cost-benefit analysis on using public workers instead of private","Evidence-Based Privatization","2009 Oregon House Bill 2037",,,,2009,"Oregon Legislature","http://www.leg.state.or.us/","Oregon ","Exemplary","State","Bill","http://www.leg.state.or.us/09reg/measures/hb2000.dir/hb2037.intro.html","www.alicelaw.org/Web_Folder/Government_Performance",,"An act requiring the Oregon Department of Administrative Services and local contracting agencies to maintain records concerning public contracts and to submit reports concerning that information to the Governor and the Legislative Assembly. The act also makes such records public, and requires agencies to make records available online.","Government Contract, Public Contracts, Public Records, Government Procurement",,
"Government Performance","Government Procurement and Contracting","Performance Contracting/ Evidence-based Privatization/ Cost-benefit analysis on using public workers instead of private","Evidence-Based Privatization","2009 Oregon Chapter 880",,"http://www.leg.state.or.us/09reg/measpdf/hb2800.dir/hb2867.intro.pdf","2009 Oregon House Bill 2867",2009,"Oregon Legislature","http://www.leg.state.or.us/","Oregon","Exemplary","State","Act/Ordinance","http://www.leg.state.or.us/09reg/measpdf/hb2800.dir/hb2867.en.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,"An act which requires the government contracting agency to establish measurable standards to assess quality of contractor¢sperformance under public contract and specify consequences for failing to meet standards.Authorizes Secretary of State and local contracting agency to audit public contracts. Establishescertain standards for audit.Prohibits contracting agency from contracting for contract administration, except for consultantto train contracting agency employees in skills necessary for administration","Government Contract, Public Contracts, Public Records, Government Procurement",,
"Government Performance","Government Procurement and Contacting","Performance Contracting/ Evidence-based Privatization/ Cost-benefit analysis on using public workers instead of private","Evidence-Based Privatization","Rhode Island Statutes Chapter 42-148","Privatization of State Services",,,,"Rhode Island Legislature","http://www.rilin.state.ri.us/","Rhode Island ","Exemplary","State","Other","http://www.inthepublicinterest.org/sites/default/files/Rhode%20Island%20CHAPTER%2042-148.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,,,,"Rhode Island Statute-Cannot find legislative History"
"Government Performance","Government Accessibility","State Public Records Law/FOIA","Freedom of Information","The State Public Records Act Model Law",,,,,"Center for Policy Alternatives",,,"Model","State","Act/Ordinance",,"www.alicelaw.org/Web_Folder/Government_Performance",,"An act that requires that records from a public agency be available for 
inspection; mandates that a custodian of public records honor a public 
request for records; allows the legislature to specifically exempt 
certain items from requests and allows the agency to charge reasonable 
fees for documents. The act does not require the requestor to disclose 
the reason for the request.","Freedom of Information, Public Records, Government Records, FOIA, Open Records",,
"Government Performance","Government Accessibility","Open Government Records/FOIA","Freedom of Information","Freedom of Information Policy Package",,,,,"Center for Policy Alternatives",,,"Supprt","State","Report",,"www.alicelaw.org/Web_Folder/Government_Performance",,"An act that requires that records from a public agency be available for 
inspection; mandates that a custodian of public records honor a public 
request for records; allows the legislature to specifically exempt 
certain items from requests and allows the agency to charge reasonable 
fees for documents. The act does not require the requestor to disclose 
the reason for the request.","Freedom of Information, Public Records, Government Records, FOIA, Open Records",,
"Government Performance","Government Procurement and Contracting","Gov't Employee Residency Requirements","Government Employee Residency Requirements","2008 Providence Rhode Island Ordinances Section 17-7 ",,,,2008,"Providence City Council","http://council.providenceri.com/","Rhode Island","Exemplary","Municipal","Act/Ordinance","http://www.ilsr.org/rule/2158-2/","www.alicelaw.org/Web_Folder/Government_Performance",,"An act which requires officers of the city, employees of the city, and 
employees of the school district to be residents of the city for the 
length of their employment.","Government Employment, Residency Requirements",,
"Government Performance","Government Procurement and Contacting","Government Procurement Anti-Offshoring","Government Procurement Anti-Offshoring",,,,,,"Center for Policy Alternatives",,,"Support",,"Report","CPA","www.alicelaw.org/Web_Folder/Government_Performance",,,,,
"Government Performance","Government Procurement and Contracting","International Trade Agreements","International Trade Agreements",,,,,,"Center for Policy Alternatives",,,,,,,"www.alicelaw.org/Web_Folder/Government_Performance",,,,,
"Government Performance","Government Accountability","Linking Community Indicators with Government Performance Measures","Link Community Indicators with Government Performance Measures","Creating Stronger Linkages Between Community Indicator Projects and Government Performance Measures",,,,2007,"Alfred P. Sloan Foundation","http://www.sloan.org/",,"Support",,"Report","http://www.stateinnovation.org/Events/Event-Listing/PDAM-09/Briefing-Book/Government-Performance-Community-Indicators-and-Pe.aspx","www.alicelaw.org/Web_Folder/Government_Performance",,"The goal of this report concerning the potential to strengthen links between community indicators and local government performance measurement. Specifically, this report discusses the three key issues: (1) commonalities and differences between community indicators and government performance measurement efforts, (2) barriers to creating linkages between community indicators and government performance measures, and (3) potential strategies for reducing and/or eliminating barriers to creating linkages between community indicators and government performance measures. The intent of this report is to advance the dialogue on building stronger linkages between community indicators and government performance measurement and to identify a broad agenda for further research and action for that purpose.","StateStat, PerformanceStat, Performance Measurement, CompStat, CitiStat,",,
"Government Performance","Government Procurement and Contracting","Living Wage Requirements in Government Contracts","Living Wage Requirements in Government Contracts","High Road State Procurement",,,,2008,"Center for State Innovation","http://www.stateinnovation.org/",,"Support",,"Report","http://www.stateinnovation.org/Publications/All-Publications/State-Procurement.aspx","www.alicelaw.org/Web_Folder/Government_Performance",,"A report on how government entities can leverage their purchasing power to create procurement policies and processes that  offer not only 
cost-effective, quality products and services essential to government 
operations, but also the opportunity to further a state’s economic 
growth and workforce development goals through the creation of living wage jobs.","Living Wage, Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development,",,
"Government Performance","Government Procurement and Contracting","Living Wage Requirements in Government Contracts","Living Wage Requirements in Government Contracts","2000 Alexandria Virginia Ordinance Section 3-3-31.1 ","Service Contract Wages",,,2000,"Alexandria City Council","http://alexandriava.gov/","Virginia","Exemplary","Municipal","Act/Ordinance ","http://alexandriava.gov/purchasing/info/default.aspx?id=2116","www.alicelaw.org/Web_Folder/Government_Performance",,"A municipal ordinance that requires contractors, excluding construction contracts, providing 
services on City-owned or City-controlled property to pay a minimum wage
to their employees.","Living Wage, Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development",,
"Government Performance","Government Procurement and Contracting","Living Wage Requirements in Government Contracts","Living Wage Requirements in Government Contracts","cannot find ordinance number",,,,2005,"Council of the City of Atlanta",,"Georgia","Exemplary","Municipal","Act/Ordinance ","COWS","www.alicelaw.org/Web_Folder/Government_Performance",,"An ordinance requiring that businesses that benefit from the receipt of city funds or from the use of city property engage in responsible business practices by paying their employees a living wage and health benefits, practicing pay equity and ensuring that public funds and public property are used in a viewpoint-neutral fashion and not diverted for inappropriate purposes. ","Living Wage, Government Contract, Public Contract, Government Procurement, Service Contracts, Health Care, Economic Development",,
"Government Performance","Government Procurement and Contracting","Living Wage Requirements in Government Contracts","Living Wage Requirements in Government Contracts","2005 Hudson County New Jersey Ordinance 360-9-2005","Hudson County Living Wage Ordinance",,,2005,"Board of Chosen Freeholders County of Hudson",,"New Jersey","Exemplary","County ","Act/Ordinance ","COWS","www.alicelaw.org/Web_Folder/Government_Performance",,"An act to ensure that businesses benefiting from taxpayer funds or the use of County property provide their employees a living wage of at least $11.00 per hour and health benefits to their employees ― a wage that will allow a full time worker to support a family of three at approximately 130% of the federal poverty guidelines ― protect building services workers from displacement, and refrain from using public money and public property for inappropriate purposes, thus enhancing the welfare of Hudson County and its residents","Living Wage, Government Contract, Public Contract, Government Procurement, Service Contracts, Health Care, Economic Development",,
"Government Performance","Government Procurement and Contracting","Living Wage Requirements in Government Contracts","Living Wage Requirements in Government Contracts","Summary of Legislation",,,,2011,"Living Wage NYC","http://www.livingwagenyc.org/","New York ","Support","Municipal","Report","http://livingwagenyc.org/admin/tinymce/uploaded/file/Bill%20Summary%206.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,"Summary of New York City Living Wage Ordinance","Living Wage, Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development",,
"Government Performance","Government Procurement and Contracting","Living Wage Requirements in Government Contracts","Living Wage Requirements in Government Contracts","1998 Detroit Ordinance Number 45-98","Detroit Living Wage Ordinance",,,1998,"Detroit City Council","http://www.detroitmi.gov/CityCouncil.aspx","Michigan","Exemplary","Municipal","Referendum","http://www.ilsr.org/rule/living-wage/2085-2/","www.alicelaw.org/Web_Folder/Government_Performance",,"An ordinance that requires city service contractors or recipients 
of city financial assistance of $50,000 or more to pay employees a wage 
equivalent to the federal poverty line for a family of four.","Living Wage, Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development",,
"Government Performance","Government Procurement and Contracting","Living Wage Requirements in Government Contracts","Living Wage Requirements in Government Contracts","1997 Resolution of the City of Minneapolis Adopting a Living Wage Policy",,,,1997,"Minneapolis City Council","http://www.minneapolismn.gov/council/index.htm","Minnesota","Exemplary","Municipal","Other","http://www.ilsr.org/rule/living-wage/2086-2/","www.alicelaw.org/Web_Folder/Government_Performance",,"A living wage policy requiring businesses benefiting from $100,000 or 
more in city assistance in one year to pay employees a living wage. The 
wage is defined and indexed as 110%of the federal poverty level for
a family of four. Recipients of such assistance must also set a goal 
that 60% of new jobs will be held by city residents. Additional 
provisions prohibit privatization of services currently performed by 
city employees that would result in lower wages, and preferences for 
assistance to union-friendly businesses. ","Living Wage, Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development, Local Hiring, Collective Bargaining",,
"Government Performance","Government Procurement and Contracting","Living Wage Requirements in Government Contracts","Living Wage Requirements in Government Contracts","1998 Oakland Ordinances Chapter 2.28","Oakland Living Wage Ordinance",,,1998,"Oakland City Council","http://www2.oaklandnet.com/Government/o/CityCouncil/index.htm","California","Exemplary","Municipal","Act/Ordinance ","http://library.municode.com/HTML/16308/level2/TIT2ADPE_CH2.28LIWAOR.html","www.alicelaw.org/Web_Folder/Government_Performance",,"An act which requires companies or non-profits that enter into service contracts with the city worth at least $25,000 or benefit from at least $100,000 in city subsidies in a year to pay workers a minimum of $9.25 an hour($8.00 if the firm provides health benefits). The minimum wages are adjusted annually. The ordinance also entitles such workers to 12 paid days off per year. It also allows that a collective bargaining agreement may provide that such agreement may supersede the requirements of the living
wage ordinance.","Living Wage, Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development, Collective Bargaining ",,
"Government Performance","Government Procurement and Contracting","Living Wage Requirements in Government Contracts","Living Wage Requirements in Government Contracts","Minneapolis and Saint Paul Living Wage Joint Task Force Policy Resolutions and Recommendations ",,,,1997,"Joint Minneapolis/Saint Paul Living Wage Jobs Task Force","http://www.ilsr.org/","Minnesota","Exemplary","Municipal","Other ","http://www.ilsr.org/rule/living-wage/2088-2/","www.alicelaw.org/Web_Folder/Government_Performance",,"An act requiring recipients of $100,000 or more of city economic development assistance in one year to pay employees a living wage, defined as 110% of the federal poverty level for a family of four, or 100% of poverty line for companies who provide health
insurance. In addition, at least 60%of new jobs created as a 
result of such assistance must go to St. Paul residents.","Living Wage, Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development, Local Hiring, Health Care",,
"Government Performance","Government Procurement and Contracting","Living Wage Requirements in Government Contracts","Living Wage Requirements in Government Contracts","2000 San Francisco Ordinances Chapter 12P","San Francisco Minimum Compensation Ordinance",,,2000,"San Francisco Board of Supervisors","http://www.sfbos.org/","California","Exemplary","Municipal","Act/Ordinance ","http://www.ilsr.org/rule/living-wage/2089-2/","www.alicelaw.org/Web_Folder/Government_Performance",,"An act that requires city service contractors, including nonprofit agencies,
and leaseholders at San Francisco International Airport to pay workers 
a living wage. It also gives workers 12 
paid days off and 10 unpaid days for family emergencies. 
","Living Wage, Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development, ",,
"Government Performance","Government Procurement and Contracting","Living Wage Requirements in Government Contracts","Living Wage Requirements in Government Contracts","2000 Santa Cruz Ordinances Section 5.10.010","Santa Cruz Living Wage Ordinance",,,2000,"Santa Cruz City Council","http://www.cityofsantacruz.com/index.aspx?page=268","California","Exemplary","Municipal","Act/Ordinance ","http://www.ilsr.org/rule/living-wage/2091-2/","www.alicelaw.org/Web_Folder/Government_Performance",,"An act that requires city service contractors, to pay workers 
a living wage. Each year the city council will review and extend the living wage by at least an amount which corresponds to the cost of living increase as measured by the San Francisco-Oakland-San Jose area Consumer Price 
Index. ","Living Wage, Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development,",,
"Government Performance","Government Procurement and Contracting","Living Wage Requirements in Government Contracts","Living Wage Requirements in Government Contracts","2003 Santa Fe New Mexico Ordinance 2007-43","Living Wage Ordinance",,,2003,"Santa Fe City Council","http://www.santafenm.gov/index.aspx?NID=72","New Mexico","Exemplary","Municipal","Act/Ordinance ","http://www.santafenm.gov/DocumentView.aspx?DID=1304","www.alicelaw.org/Web_Folder/Government_Performance",,"An ordinance mandating a phased-in living wage for all people working at private sector businesses with 25 or more employees","Living Wage, Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development,",,
"Government Performance","Government Procurement and Contracting","Living Wage Requirements in Government Contracts","Living Wage Requirements in Government Contracts","2009 New York City Initiatives Number 251","Fair Wages for New Yorkers Act",,,2009,"New York City Council","http://www.livingwagenyc.org/","New York","Exemplary","Municipal","Act/Ordinance ","http://www.livingwagenyc.org/pagedetail.php?id=9","www.alicelaw.org/Web_Folder/Government_Performance",,"An act giving  living wage guarantee to all workers at a government subsidized 
development project, regardless of whether they are employed directly by
the developer or by the project’s tenants or on-site service 
contractors. the act also adjusts wages for inflation. 
","Living Wage, Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development,",,
"Government Performance","Government Procurement and Contracting","Local Hiring Preferences","Local Hiring Preferences","2008 Milwaukee Ordinances Chapter 355","Community Participation in  Development Agreements",,"Milwaukee File Number 80218",2008,"Milwaukee Common Council","http://city.milwaukee.gov/CommonCouncil","Wisconsin","Exemplary","Municipal","Act/Ordinance ","http://milwaukee.legistar.com/ViewReport.ashx?M=R&N=Text&GID=5&ID=391454&GUID=5F136DDD-4D4C-4ABC-83AE-7A8149C84307&Title=Legislation+Text","www.alicelaw.org/Web_Folder/Government_Performance",,"An ordinance requiring that businesses receiving municipal development subsidies hire a certain portion of their workforce from city residents.","Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development, Local Hiring, First Source","http://milwaukee.legistar.com/ViewReport.ashx?M=R&N=Master&GID=5&ID=166224&GUID=EE799A62-41BD-48D4-BE60-32ECAADA93BA&Title=Legislation+Details",
