"Policy Area","Sub Area","Old Topic","New Topic","Title (for model laws include the word ""Model"" in title)","Short Title (only for Exemplary)","Current Link to Bill","Bill Number","Year (if unknown for Model look at effective date - use same year if July/prior year if January)","Source","Source Website","State (multiple states separated by a comma) ","Format (Model, Exemplary, Support)","Level (State, County, Municipal)","Type (Bill, Act/Ordinance, Executive Order, Referendum, Administrative Rule, Constitutional Amendment, Report, Other)","Current Link to Asset","Web Folder Link to PDF","Web Folder Link to Word Doc","Summary","Alternative Terms","Legislative History","Notes"
"Government Performance","Government Procurement and Contracting","Local Hiring Preferences","Local Hiring Preferences","2001 East Palo Alto California First Source Hiring and Local Business Enterprise Policy",,,,2001,"City of East Palo Alto Redevelopment Agency","http://www.ci.east-palo-alto.ca.us/economicdev/index.html","California","Exemplary","Municipal","Act/Ordinance ","http://www.ci.east-palo-alto.ca.us/economicdev/pdf/FSH_Policy_8-29-01mod_.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,"An act requiring that for city-assisted development projects, developers and employers of the built business are required to hire 30% local residents, or make efforts to do so.","Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development, Local Hire, First Source",,
"Government Performance","Government Procurement and Contracting","Local Hiring Preferences","Local Hiring Preferences","Making Development Work for Local Residents",,,,2008,"The Partnership for Working Families","http://communitybenefits.org/",,"Support","State, County, Municipal","Report","http://www.communitybenefits.org/downloads/Making%20Development%20Work%20for%20Local%20Residents.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,"This report reviews nine efforts todevelop and implement local hire programs, and provides an overview of what makes these programswork.","Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development, Local Hire, First Source",,
"Government Performance","Government Procurement and Contacting","Local Purchasing Preferences","Local Purchasing Preferences","2011 Oregon House Bill 3000","Chapter 237, Oregon Laws of 2011","http://landru.leg.state.or.us/11reg/measpdf/hb3000.dir/hb3000.intro.pdf","2011 Oregon House Bill 3000",2011,"Oregon Legislature","http://www.leg.state.or.us/","Oregon","Exemplary","State","Act/Ordinance","http://landru.leg.state.or.us/11reg/measpdf/hb3000.dir/hb3000.en.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,"An act which allows state agencies and local governments to give preference to goods made in Oregon and services performed by local businesses, even if it entails paying up to 10 percent more than the cost of out-of-state suppliers","Local Procurement, Government Contacting, Government Procurement",,
"Government Performance","Government Procurement and Contacting","Local Purchasing Preferences","Local Purchasing Preferences","Local Purchasing Preferences-Oregon",,,,2011,"Institute for Local Self Reliance","http://www.ilsr.org/","Oregon","Support","State","Other","http://www.newrules.org/retail/rules/local-purchasing-preferences/local-purchasing-preference-oregon","www.alicelaw.org/Web_Folder/Government_Performance",,"Summary of the Oregon Local Purchasing Preferences Law ","Local Procurement, Government Contacting, Government Procurement",,
"Government Performance","Government Procurement and Contacting","Local Purchasing Preferences","Local Purchasing Preferences","2011 Colorado House Bill 1142",,,,2011,"Colorado Legislature","http://www.leg.state.co.us/clics/clics2012B/cslFrontPages.nsf/HomeSplash?OpenForm","Colorado","Exemplary","State","Bill","http://www.leg.state.co.us/clics/clics2011a/csl.nsf/fsbillcont3/7337044087D5A4348725780800800E91?open&file=1142_01.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,"The bill requires any state agency that issues an invitation for bids
or a request for proposals for a procurement contract to consider the state economic impact of the bids or offers received in response to the invitation or request. If the contract is to be awarded through competitive sealed bidding, the contract shall be
awarded to the low responsible bidder with the greatest state economic
impact. If the contract is to be awarded through competitive sealed
proposals, the state economic impact of an offer shall be one of the
factors considered in evaluating the offer. The bill specifies the information that shall be considered in
determining the state economic impact of a bid or offer.","Local Procurement, Government Contacting, Government Procurement, Economic Impact, Bidding",,
"Government Performance","Government Procurement and Contacting","Local Purchasing Preferences","Local Purchasing Preferences","Local Purchasing Preferences-Colorado",,,,2011,"Institute for Local Self Reliance","http://www.ilsr.org/","Colorado","Support","State","Other","http://www.ilsr.org/rule/local-purchasing-preferences/3103-2/","www.alicelaw.org/Web_Folder/Government_Performance",,"Summary of the Colorado Local Purchasing Preference Law House Bill 1142","Local Procurement, Government Contacting, Government Procurement, Economic Impact, Bidding",,
"Government Performance","Government Procurement and Contacting","Local Purchasing Preferences","Local Purchasing Preferences","2011 California Assembly Bill 150","Small Business Procurement and Contract Act","http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0101-0150/ab_150_bill_20110118_introduced.pdf",,2011,"California Legislature","http://www.legislature.ca.gov/","California","Exemplary","State","Bill ","http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0101-0150/ab_150_bill_20110414_amended_asm_v97.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,"This bill allows the Department of General Services (DGS) to 
direct minimum business participation goals for minority, women, 
and disabled veteran-owned businesses and small businesses in 
state contracts, and to monitor progress in meeting this goal, 
commencing July 1, 2012.","Veteran, Women, State Contacts, Government Procurement, Government Contacting, Small Business","http://www.leginfo.ca.gov/pub/11-12/bill/asm/ab_0101-0150/ab_150_bill_20120201_history.html",
"Government Performance","Government Procurement and Contacting","Local Purchasing Preferences","Local Purchasing Preferences","2009 California Chapter 212","Small Business Procurement and Contract Act","http://www.leginfo.ca.gov/pub/09-10/bill/asm/ab_0001-0050/ab_31_bill_20081201_introduced.pdf","2009 California House Bill 31 ",2009,"California Legislature","http://www.legislature.ca.gov/","California","Exemplary","State","Act/Ordinance","http://www.leginfo.ca.gov/pub/09-10/bill/asm/ab_0001-0050/ab_31_bill_20091011_chaptered.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,"This bill increases the maximum amount of a  
contract for goods, services, or information technology to 
a certified small business (CSB) from $100,000 to $250,000 
without complying with specified competitive bidding 
requirements. This bill requires the contractor, upon 
completion of a public contract for which a commitment to 
achieve CSB or disabled veteran business enterprise. ","Small Business, Government Procurement, Government Contracting, ","http://www.leginfo.ca.gov/pub/09-10/bill/asm/ab_0001-0050/ab_31_bill_20091011_history.html",
"Government Performance","Government Procurement and Contacting","Local Purchasing Preferences","Local Purchasing Preferences","Local Purchasing Preferences-California",,,,2011,"Institute for Local Self Reliance","http://www.ilsr.org/","California","Support","State","Other ","http://www.newrules.org/retail/rules/local-purchasing-preferences/local-purchasing-preferences-california","www.alicelaw.org/Web_Folder/Government_Performance",,"Summary of California's Local Purchasing Preferences Act","Small Business, Government Procurement, Government Contracting,",,
"Government Performance","Government Procurement and Contacting","Local Purchasing Preferences","Local Purchasing Preferences","Woodbury County Local Food Purchase Policy",,,,2006,"Woodbury County Board of Supervisors","http://www.woodburyiowa.com/","Iowa","Exemplary","County","Act/Ordinance","http://eatbettermovemore.org/sa/policies/pdftext/WoodburyIALocalFood.htm.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,"An act requiring Woodbury County purchase, by or through its food service contractor, locally
produced organic food when a department of Woodbury County serves food in the usual course
of business. The contractor may cover unavailable local organic supply through its current procurement practices with preference to be given local non-organic food products. An arbitration board shall be established to assure fair value to Woodbury County. A single-point-of-contact broker, located in Woodbury County, shall interact with food service contractor, for availability, price, quality, presentation and delivery
terms of all locally produced organic food","Local Procurement, Local Food, Government Procurement, Government Contacting, ",,
"Government Performance","Government Procurement and Contacting","Local Purchasing Preferences","Local Purchasing Preferences","Local Food Purchasing and Organic Conversion Policies-Woodbury County, Iowa",,,,2006,"Institute for Local Self Reliance","http://www.ilsr.org/","Iowa","Support","County","Other ","http://www.ilsr.org/rule/local-food/2050-2/","www.alicelaw.org/Web_Folder/Government_Performance",,"Summary of the Woodbury County Local Food Purchase Policy","Local Procurement, Local Food, Government Procurement, Government Contacting,",,
"Government Performance","Government Procurement and Contacting","Local Purchasing Preferences","Local Purchasing Preferences","San Jose Small Business Opportunity Program Ordinance 4.12.320",,,,2003,"San Jose City Council","http://www.ilsr.org/","California","Exemplary","Municipal","Act/Ordinance","http://www.ilsr.org/rule/local-purchasing-preferences/2729-2/","www.alicelaw.org/Web_Folder/Government_Performance",,"An act to encourage the government to procure goods through local businesses with price preferences. Small businesses (those with 35 or fewer employees) receive a 5% price preference in the awarding of city contracts. For services provided through a request-for-proposal process, local small businesses receive a 10% point advantage. Local businesses of all sizes also receive a 2.5% preference, but the city defines a “local” business as any business with a location in Santa Clara County.","Small Business, Local Procurement, Local Business, Government Procurement, Government Contracting, ",,
"Government Performance","Government Procurement and Contacting","Local Purchasing Preferences","Local Purchasing Preferences","San JoseSmall Business Opportunity Program",,,,2003,"San Jose City Council","http://www.sjeconomy.com/","California","Support","Municipal","Other","http://www.sjeconomy.com/businessassistance/localpreference.asp","www.alicelaw.org/Web_Folder/Government_Performance",,"A website explaining San Jose's local purchase preference rules","Small Business, Local Procurement, Local Business, Government Procurement, Government Contracting,",,
"Government Performance","Government Procurement and Contacting","Local Purchasing Preferences","Local Purchasing Preferences","2007 Madison Legislative File Number 05943","Local Preference Purchasing Policy",,,2007,"Madison City Council","http://www.cityofmadison.com/council/","Wisconsin","Exemplary","Municipal","Act/Ordinance","http://madison.legistar.com/ViewReport.ashx?M=R&N=Text&GID=205&ID=1096765&GUID=2DB0E83A-492C-4DE1-9620-286B2A09CCE8&Title=Legislation+Text","www.alicelaw.org/Web_Folder/Government_Performance",,"this local preference
purchasing policy will establish new administrative responsibilities 
for staff in the many operating departments who participate in the daily purchasing activities
of City government.  A city agency would be responsible for developing an on-line 
system for vendors to identify themselves as ""local""
and to maintain a list of these vendors on the City's web site for use 
by City staff and the public.  Central Purchasing would be responsible 
for modifying current bid and RFP document formats to incorporate local preference criteria into the standard vendor selection processes for purchases
over $25,000.  Staff in all City agencies that make purchasing 
decisions over $5,000 would be responsible for incorporating the same 
criteria into their competitive selection processes when making vendor 
selections.  Based on the proposed policy structure and the 4-month 
implementation timeline, it is likely that the necessary implementation 
work can be accomplished with available staff resources.
 The policy also creates a 1% price preference or a 5% scoring preference for local vendors responding to non-public works bids, requests for quotations and requests for proposals. ","Small Business, Local Procurement, Local Business, Government Procurement, Government Contracting,","http://madison.legistar.com/ViewReport.ashx?M=R&N=Master&GID=205&ID=1059137&GUID=1AA02B33-D08C-441E-8217-78B828B98555&Title=Legislation+Details",
"Government Performance","Government Procurement and Contacting","Local Purchasing Preferences","Local Purchasing Preferences","Local Purchasing Preference-Madison, Wisconsin",,,,2009,"Institute for Local Self Reliance","http://www.ilsr.org/","Wisconsin","Support","Municipal","Other","http://www.newrules.org/retail/rules/local-purchasing-preferences/local-purchasing-preferences-madison-wi","www.alicelaw.org/Web_Folder/Government_Performance",,"Summary of Madison, Wisconsin's Local Preference Purchasing Policy","Small Business, Local Procurement, Local Business, Government Procurement, Government Contracting,",,
"Government Performance","Government Procurement and Contacting","Local Purchasing Preferences","Local Purchasing Preferences","Cleveland Ordinances Chapter 187A","Local Producer, Local-Food Purchaser, and Sustainable Business Preference Code",,"Ordinance Number 1660-A-09",2010,"Council of the City of Cleveland","http://www.clevelandcitycouncil.org/","Ohio","Exemplary","Municipal","Act/Ordinance","http://www.gcbl.org/system/files/cle_localfood_ord.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,"An ordinance encouraging government entities to purchase locally grown food by providing local producers a bid preference depending on whether the producer is local, sustainable, or a combination of both.","Local Procurement, Local Food, Government Procurement, Government Contacting, Sustainability, Sustainable Business, ",,
"Government Performance","Government Procurement and Contacting","Local Purchasing Preferences","Local Purchasing Preferences","Local Purchasing Preferences",,,,2008,"Institute for Local Self Reliance","http://www.ilsr.org/",,"Support",,"Report","http://www.ilsr.org/rule/local-purchasing-preferences/","www.alicelaw.org/Web_Folder/Government_Performance",,"A report on the benefits of and possible challenges to buy local ordinances","Small Business, Local Procurement, Local Business, Government Procurement, Government Contracting,",,
"Government Performance","Government Procurement and Contracting","On Site Employee Health Care Service","On Site Employee Health Care Service","2012 Montana Request for Proposal 12-2260P","On-site Employee Health Center",,,2012,"Montana State Procurement Bureau","http://gsd.mt.gov/procurement/default.mcpx","Montana","Exemplary","State","Other ","http://www.docstoc.com/docs/117573121/RFP12-2260P","www.alicelaw.org/Web_Folder/Government_Performance",,"A state request for proposal to provide an on-site employee health care site for state employees and their dependents. ","Government Contract, Public Contract, Government Procurement, Access to Health Care, ",,
"Government Performance","Government Accessibility","Open Source Policy","Open Source Policy","Model Local Open Government Directive",,,,2011,"Open Government Initiative ","http://opengovernmentinitiative.org/",,"Model","County, Municipal","Act/Ordinance","http://opengovernmentinitiative.org/directive/v1/","www.alicelaw.org/Web_Folder/Government_Performance",,"An act to encourage open access to government data and the use of open 
source software. The resolution includes language that puts open source 
software on the same playing field as proprietary software in the 
procurement process. It also establishes an open data catalog to house 
data available from the city.","Freedom of Information, Public Records, Government Records, FOIA, Open Records",,
"Government Performance","Government Accessibility","Open Source Policy","Open Source Policy","2012 Raleigh North Carolina Technology and Communication Committee Minutes",,,,2012,"Technology Communication Committee of the City of Raleigh","http://www.raleighnc.gov/government/news/content/CorNews/Articles/TechnologyCommunicationsCommittee.html","North Carolina","Support","Municipal","Other","http://www.raleighnc.gov/content/BoardsCommissions/Documents/TechnologyCommunications/2012/TC-Minutes-20120124.doc","www.alicelaw.org/Web_Folder/Government_Performance",,"An act to encourage open access to government data and the use of open 
source software. The resolution includes language that puts open source 
software on the same playing field as proprietary software in the 
procurement process. It also establishes an open data catalog to house 
data available from the city.","Freedom of Information, Public Records, Government Records, FOIA, Open Records",,"City Council Resolution Proposed by one city council committee"
"Government Performance","Government Procurement and Contracting","Pay to Play Contribution Limits","Pay to Play Contribution Limits","Pay to Play Model Ordinance",,,,2010,"Press of Atlantic City","http://www.pressofatlanticcity.com/","New Jersey","Model","County/Municipal","Act/Ordinance","http://www.pressofatlanticcity.com/article_902a2740-425b-11df-9ca4-001cc4c002e0.html","www.alicelaw.org/Web_Folder/Government_Performance",,"An act that limits the amount businesses may contribute to candidates, 
political parties or office holders; an entity that contributes more 
than the limit becomes ineligible to participate in government contacts.
","Government Contract, Public Contract,
Government Procurement, Service Contracts, Campaign Contribution, Pay to Play",,
"Government Performance","Government Procurement and Contracting","Pay to Play Contribution Limits","Pay to Play Contribution Limits","2005 New Jersey Chapter 51",,"http://www.njleg.state.nj.us/2004/Bills/A1500/1500_I1.PDF","2004 New Jersey House Bill 1500",2004,"New Jersey Legislature","http://www.njleg.state.nj.us/","New Jersey","Exemplary","State","Act/Ordinance","http://www.njleg.state.nj.us/2004/Bills/PL05/51_.PDF","www.alicelaw.org/Web_Folder/Government_Performance",,"An act that limits the amount businesses may contribute to candidates, 
political parties or office holders; an entity that contributes more 
than the limit becomes ineligible to participate in government contacts.","Government Contract, Public Contract,
Government Procurement, Service Contracts, Campaign Contribution, Pay to Play",,
"Government Performance","Government Accountability","PerformanceStat","PerformanceStat","2007 Maryland Chapter 7","StateStat","http://mlis.state.md.us/2007RS/bills/hb/hb0137f.pdf","2007 Maryland House Bill 137",2007,"Maryland Legislature","http://mlis.state.md.us/","Maryland ","Exemplary","State","Act/Ordinance","http://mlis.state.md.us/2007RS/chapters_noln/Ch_7_hb0137T.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,"An act creating a StateStat accountability process to enhance themanaging for results process; authorizing the Governor to require certainagencies to participate in the StateStat process; requiring certain agencies to submit certain strategic plans and performance measurement reports to theSecretary of Budget and Management as part of a certainbudget submission; requiring the performance measurement reports to contain certain information.","StateStat, PerformanceStat, Performance Measurement, CompStat, CitiStat, ","http://mlis.state.md.us/2007rs/billfile/hb0137.htm",
"Government Performance","Government Accountability","PerformanceStat","PerformanceStat","Less is More: Progressive Approaches to Governmental Accountability",,,,2006,"Public Works, Eric Schnurer","http://www.stateinnovation.org",,"Support",,"Report ","http://www.stateinnovation.org/Publications/All-Publications/Expert---2006-12---Schnurer---Performance-Reviews.aspx","www.alicelaw.org/Web_Folder/Government_Performance",,"A report on the effectiveness of performance measurement programs","StateStat, PerformanceStat, Performance Measurement, CompStat, CitiStat,","http://www.in.gov/apps/lsa/session/billwatch/billinfo?year=2010&request=getActions&doctype=HB&docno=1003",
"Government Performance","Government Accountability","PerformanceStat","PerformanceStat","1997 Louisiana Act 1465","The Louisiana Government Performance and Accountability Act","http://legis.la.gov/leg_docs/97RS/CVT48/OUT/0000BSHW.PDF","1997 Louisiana House Bill 2476",1997,"Louisiana Legislature","http://www.legis.state.la.us/","Louisiana","Exemplary","State","Act/Ordinance","http://doa.louisiana.gov/OPB/links/Act-1465_1997.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,"An act to enable the use of a performance measurement system as part of the state budget process","StateStat, PerformanceStat, Performance Measurement, CompStat, CitiStat,",,"http://doa.louisiana.gov/OPB/pbb/enabling.htm"
"Government Performance","Government Accountability","PerformanceStat","PerformanceStat","2007 Maryland Executive Order 01.01.2007.02","2007 Maryland BayStat Executive Order",,,2007,"Maryland Governor","http://www.gov.state.md.us/","Maryland","Exemplary","State","Executive Order","http://www.baystat.maryland.gov/documents/01.07.02Baystat.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,"An act to establish an anaccountability process, known as BayStat, for measuring and evaluating efforts to restore the Chesapeake Bay. BayStat shall be a joint project ofthe Departments of Agriculture, the Environment, Natural Resources,and Planning","StateStat, PerformanceStat, Performance Measurement, CompStat, CitiStat,",,
"Government Performance","Government Accountability","PerformanceStat","PerformanceStat","2007 Maryland Executive Order 01.01.2007.04","Creation of Maryland's Statistical Analysis Center",,,2007,"Maryland Governor","http://www.gov.state.md.us/","Maryland","Exemplary","State","Executive Order","http://www.governor.maryland.gov/executiveorders/01.07.04StatisticalAnalysisCenter.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,"An order to create Maryland Statistical Analysis Center to be located in theGovernor’s Office of Crime Control and Prevention.","StateStat, PerformanceStat, Performance Measurement, CompStat, CitiStat,",,
"Government Performance","Government Accountability","PerformanceStat","PerformanceStat","PerformanceStat Implementation Strategies",,,,2010,"Center for State Innovation","http://www.stateinnovation.org/",,"Support",,"Report ","http://www.stateinnovation.org/071910.aspx","www.alicelaw.org/Web_Folder/Government_Performance",,"A webinar  overview of state- and city-wide PerformanceStat
models, featuring the directors of Maryland StateStat, Washington 
Government Management Accountability and Performance program, and the 
City of Baltimore’s CitiStat program. State and city administrators will discuss how data management tools have transformed decision-making processes and streamlined service delivery. ","StateStat, PerformanceStat, Performance Measurement, CompStat, CitiStat,",,
"Government Performance","Government Accountability","PerformanceStat","PerformanceStat","Government Performance-Policy Directors' Webinar Briefing",,,,2008,"Center for State Innovation","http://www.stateinnovation.org/",,"Support",,"Report","http://stateinnovation.org/Events/Event-Listing/Government-Performance---Policy-Directors--Webinar.aspx","www.alicelaw.org/Web_Folder/Government_Performance",,"A webinar discussion of state performance reviews, innovative municipal budgeting,
and a briefing on CityStat/StateStat by one of the individuals involved
in its first implementation in Baltimore and its current expansion to 
the entire state of Maryland.","StateStat, PerformanceStat, Performance Measurement, CompStat, CitiStat,",,
"Government Performance","Government Procurement and Contracting","Raising Labor standards through gov't procurement - Project Labor Agreements (PLAs)/Community Workforce Agreements (CWAs)","Project Labor Agreements and Community Workforce Agreements","Community Benefits Legal Dictionary",,,,,"Community Benefits Law Center","http://www.communitybenefits.org/legal/",,"Support","Municipal","Report","http://www.communitybenefits.org/section.php?id=148","www.alicelaw.org/Web_Folder/Government_Performance",,"Summary of definitions of terms and words typically used in Community Benefits Agreements","Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development, ",,
"Government Performance","Government Procurement and Contracting","Raising Labor standards through gov't procurement - Project Labor Agreements (PLAs)/Community Workforce Agreements (CWAs)","Project Labor Agreements and Community Workforce Agreements","Community Workforce Agreement Examples",,,,,"Community Benefits Law Center","http://www.communitybenefits.org/legal/",,"Support","Municipal","Report","http://www.communitybenefits.org/article.php?id=1745","www.alicelaw.org/Web_Folder/Government_Performance",,"A website listing links to community benefits agreements for various government projects.","Government Contract, Public Contract, Government Procurement, Service Contracts, Economic Development,",,
"Government Performance","Government Procurement and Contracting","Recycled materials procurement policies","Recycled Materials Procurement Policies","2008 Florida Statues Section 287.045","Procurement of Products and Materials with Recycled Content ",,,2008,"Florida Legislature",,"Florida","Exemplary","State","Act/Ordinance","http://www.inthepublicinterest.org/sites/default/files/Florida%20Recycled%20Materials.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,,,,"Cannot Find Bill Information"
"Government Performance","Government Procurement and Contacting","Regulation of Government Use of Private Contractors","Recycled Materials Procurement Policies","Privatization of Contract; Need to Regulate",,,,,"Massachusetts General Laws","http://www.malegislature.gov/","Massachusetts","Exemplary","State","Other","http://www.malegislature.gov/Laws/GeneralLaws/PartI/TitleII/Chapter7/Section52","www.alicelaw.org/Web_Folder/Government_Performance",,,,,"These are Statutes; Cannot find the Act/Ordinance or Bill"
"Government Performance","Government Accountability","Prohibiting private companies from determining eligibility for public benefits","Regulation of Government Use of Private Contractors","2009 Indiana House Bill 1003",,,,2009,"Indiana Legislature","http://www.in.gov/legislative/index.htm","Indiana","Exemplary","State","Bill","http://www.in.gov/legislative/bills/2010/HB/HB1003.1.html","www.alicelaw.org/Web_Folder/Government_Performance",,"an act which prohibits the the state from contacting with a private entity to administer or process eligibility intake
for government entitlement programs. Exempts from the prohibition a health care
provider who determines that an individual is presumptively eligible
for Medicaid as allowed in the Medicaid state plan. Repeals a
requirement that a contractor of the specified programs make certain
reports. ","Government Contract, Public Contract, Government Procurement, Service Contracts, Government Entitlement, Medicaid, Food Stamps, Welfare","http://www.in.gov/apps/lsa/session/billwatch/billinfo?year=2010&request=getActions&doctype=HB&docno=1003","cannot find bill on website"
"Government Performance","Government Procurement and Contacting","prohibitions/disclosure on outsourcing","Regulation of Government Use of Private Contractors","2011 New York Senate Bill 3713","New York Consumer and Worker Protection Act",,,2011,"New York Legislature","http://assembly.state.ny.us/","New York","Exemplary","State","Bill","http://assembly.state.ny.us/leg/?default_fld=&bn=S03713&term=2011&Text=Y","www.alicelaw.org/Web_Folder/Government_Performance",,"An act which  requires employers to provide notice of the outsourcing of jobs prior to such outsourcing; prohibits any governmental agency from engaging in the practice of outsourcing jobs; requires consumers be made aware and provide consent if such consumers nonpublic personal information is disclosed to nonaffiliated third parties by any corporation or other business entity; requires ratification by the legislature of procurement contracts between the state, through the governor, and any multinational trade organization or corporation; and defines applicable terms. ","Consumer Protection, Identity Theft, Government Contracting, Government Procurement","http://assembly.state.ny.us/leg/?default_fld=&bn=S03713&term=2011&Actions=Y",
"Government Performance","Government Procurement and Contacting","Regulation of Government Use of Private Contractors","Regulation of Government Use of Private Contractors","Surveying State Laws Addressing Privatization",,,,2011,"League of Women Voters","http://www.lwv.org/",,"Support","State","Report","http://www.lwv.org/content/surveying-state-laws-addressing-privatization","www.alicelaw.org/Web_Folder/Government_Performance",,"Survey report on the privatization of state services and state privatization laws. ","Privatization, Small Business, Local Procurement, Local Business, Government Procurement, Government Contracting,",,
"Government Performance","Government Procurement and Contracting","State and public access to contractor records for contracts valued over $2.5 million","State and Public Access to Highly Valued Contracts","2001 Connecticut Chapter 01-169",,"http://www.cga.ct.gov/2001/FC/pdf/2001HB-06636-R000820-FC.pdf","2001 Connecticut House Bill 6636",2001,"Connecticut Legislature","http://www.cga.ct.gov/","Connecticut ","Exemplary","State","Act/Ordinance","http://www.cga.ct.gov/2001/act/Pa/2001PA-00169-R00HB-06636-PA.htm","www.alicelaw.org/Web_Folder/Government_Performance",,"By adding to the definition of a public agency, this act extends the Freedom of Information Act's (FOIA) provisions to an individual, business, or organization's records and files that relate to the entity's performance of a governmental function. It defines ""governmental function"" as the administration or management of a public agency's program authorized by law to be performed by an entity (1) receiving public agency funding; (2) participating in policy formation and decisions connected to the program that binds the agency; and (3) where the public agency is 
significantly, but not necessarily directly or continuously, involved in
or regulating the entity's administration or management.The entity's performance must derive from a legally authorized contract of more than $2.5 million. The act excludes entities that merely provide goods and services to an agency and have no responsibility to administer or manage the agency's program.
","Government Contract, Public Contract, Government Procurement, FOIA, Freedom of Information Act, Sunshine Law",,
"Government Performance","Government Procurement and Contracting","State and public access to contractor records for contracts valued over $2.5 million","State and Public Access to Highly Valued Contracts","Minnesota Statutes Section 13.05",,,,1974,"Minnesota Legislature","http://www.leg.state.mn.us/","Minnesota","Exemplary","State","Other ","https://www.revisor.leg.state.mn.us/statutes/?id=13.05","www.alicelaw.org/Web_Folder/Government_Performance",,,"Sunshine Law",,
"Government Performance","Government Procurement and Contracting","State and public access to contractor records for contracts valued over $2.5 million","State and Public Access to Highly Valued Contracts","Floodlights Instead of Flashlights: Sunshine Laws Out of Step with Government Contracting Leave Public and Lawmakers in the Dark",,,,2012,"In the Public Interest","http://www.inthepublicinterest.org/",,"Support","State","Report","http://www.inthepublicinterest.org/sites/default/files/0212%20ITPI%20Privatization_Report_f_0.pdf","www.alicelaw.org/Web_Folder/Government_Performance",,"A report on why governments should require private companies performing government contracts to disclore records related to the contracted work. ","Government Contract, Public Contract, Government Procurement, FOIA, Freedom of Information Act, Sunshine Law",,
"Government Performance","Government Procurement and Contracting","State and public access to contractor records for contracts valued over $2.5 million","State and Public Access to Highly Valued Contracts","Minnesota Information Policy Analysis Division Answers Regarding Contracts Between Government and the Private Sector",,,,2012,"Information Policy Analysis Division","http://www.ipad.state.mn.us/","Minnesota","Support","State","Other ","http://www.ipad.state.mn.us/docs/contracts.html","www.alicelaw.org/Web_Folder/Government_Performance",,"Website on Minnesota's government contracting requirements.","Government Contract, Public Contract, Government Procurement, FOIA, Freedom of Information Act, Sunshine Law",,
