"Policy Area","Sub Area","Old Topic","New Topic","Title (for model laws include the word ""Model"" in title)","Short Title (only for Exemplary)","Bill Number","Web Folder Link to Bill PDF","Year (if unknown for Model look at effective date - use same year if July/prior year if January)","Source","Source website","State (multiple states separated by a comma) ","Format (Model, Exemplary, Support)","Level (State, County, Municipal)","Type (Bill, Act/Ordinance, Executive Order, Referendum, Administrative Rule, Constitutional Amendment, Report, Other)","Current Link to Asset","Web Folder Link to PDF","Web Folder Link to Word Doc","Summary","Alternative Terms","Legislative History"
"Voting and Elections","Voter registration","Mail-in registration/ballots","Mail-In Registration and Ballots","Vote by Mail Model Legislation",,,,2010,"Progressive States Network","http://www.progressivestates.org/",,"Model","State","Bill","http://www.progressivestates.org/sync/pdfs/MultiStateAgendaSiteDocuments/VotebyMail-ModelLegislation.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Mail-In_Registration_and_Ballots/Vote_by_Mail_Model_Legislation.pdf",,"This bill authorizes voting by mail and applications for permanent vote by mail status, requiring that applications be made available to every registered voter.  This bill establishes procedures for filing a permanent vote by mail application, procedures for the state upon receipt of a permanent vote by mail application, procedures for delivery of ballots for voting by mail and return of such ballots, and circumstances that may result in removal of a person's name from the permanent vote by mail status list.  This bill requires the designated election official to maintain a voter list of eligible voters applying for absentee ballots and permanent vote by mail status placed on the voter registration list.",,
"Voting and Elections","Voter registration","Mail-in registration/ballots","Mail-In Registration and Ballots","2005 Washington Chapter 241",,,,2005,"Washington legislature","http://www.leg.wa.gov/pages/home.aspx","Washington","Exemplary","State","Act","http://apps.leg.wa.gov/documents/billdocs/2005-06/Pdf/Bills/Session%20Law%202005/1754-S.SL.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Mail-In_Registration_and_Ballots/2007_Washington_Chapter_241.pdf",,"This act authorizes a county auditor to conduct all primary, special, and general elections entirely by mail ballot and provides notice requirements and procedures for a county which decides to conduct an election by mail ballot.",,"http://dlr.leg.wa.gov/billsummary/default.aspx?year=2005&bill=1754"
"Voting and Elections","Voter registration","Modernize and automate voter registration","Modernize and Automate Voter Registration","Model Act to Modernize Voter Registration",,,,2010,"Brennan Center","http://www.brennancenter.org/",,"Model","State","Bill","http://brennan.3cdn.net/1c55262dffddd1f04f_xpm6bhja5.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Modernize_and_Automate_Voter_Registration/Model_Act_to_Modernize_Voter_Registration.pdf",,"This bill requires source agencies to transmit electronically to election officials certain basic information about individuals who do not decline voter registration, in a format that can be reviewed by election officials and translated and uploaded onto the statewide computerized voter registration database. In addition, the bill should require source agencies to transmit any address or name updates to their records to ensure that the voter rolls are kept up-to-date.  This bill requires each source agency listed or designated, upon a first interaction with a person not previously served by the agency, or upon an interaction with a person served by the agency and leading to a change in personal identifying or contact information to notify each  person of the substantive qualifications of an elector in this State, notify each person that there is an opportunity to be registered to vote or update voter registration, but that voter registration is voluntary, and will not in any way affect the availability of services or benefits, ask each person to indicate, after considering the substantive qualifications of an elector in this State, whether the person wishes to opt out of voter registration, and for each person who does not opt out of using that person’s agency records for voter registration, collect: a signed affirmation of eligibility; party preference, if any; and any additional information designated by the State’s chief election official.",,
"Voting and Elections","Voter registration","Modernize and automate voter registration","Modernize and Automate Voter Registration","Model State Paperless Registration Act",,,,,"Project Vote","http://www.projectvote.org/",,"Model","State","Bill","http://www.projectvote.org/images/publications/Advocacy%20Toolkits/Paperless%20Toolkit/MODEL%20BILL-Paperless%20Voter%20Registration.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Modernize_and_Automate_Voter_Registration/Model_State_Paperless_Registration_Act.pdf",,"This bill requires state agencies offering voter registration to do so by using technology that will transmit voter registration information entered into such agency’s database electronically to the appropriate election authority.",,
"Voting and Elections","Voter registration","Modernize and automate voter registration","Modernize and Automate Voter Registration","2007 Washington Chapter 157",,,,2007,"Washington legislature","http://www.leg.wa.gov/pages/home.aspx","Washington","Exemplary","State","Act","http://apps.leg.wa.gov/documents/billdocs/2007-08/Pdf/Bills/Session%20Laws/House/1528.SL.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Modernize_and_Automate_Voter_Registration/2007_Washington_Chapter_157.pdf",,,,"http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1528&year=2007"
"Voting and Elections","Voting and election reform","National Popular Vote Compact ","National Popular Vote Compact (NPVC)","Agreement Among the States to Elect the President by National Popular
Vote Model Act",,,,,"Every Vote Equal","http://www.every-vote-equal.com/",,"Model","State","Bill","http://www.every-vote-equal.com/pdf/EVE-CH-6.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/National_Popular_Vote_Compact_(NPVC)/Agreement_Among_the_States_to_Elect_the_President_by_National_Popular_Vote_Model_Act.pdf",,"This bill establishes an agreement between every state that enacts this bill to conduct a statewide popular election for President and Vice President of the United States.  This bill does not become effective in any state until it is enacted by states collectively possessing a majority of the electoral votes (that is, 270 of the 538 electoral votes).  This bill would change the Electoral College from an institution that reflects the voters’ state-by-state choices into a body that reflects the voters’ nationwide choice. Specifically, the proposed compact would require that each member state award its electoral votes to the presidential candidate who received the largest number of popular votes in all 50 states and the District of Columbia.",,
"Voting and Elections","Voting and election reform","National Popular Vote Compact ","National Popular Vote Compact (NPVC)","2007 Maryland Chapter 44",,,,2007,"Maryland legislature","http://mlis.state.md.us/","Maryland","Exemplary","State","Bill","http://mlis.state.md.us/2007RS/chapters_noln/Ch_44_hb0148T.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/National_Popular_Vote_Compact_(NPVC)/2007_Maryland_Chapter_44.pdf",,"This act requires that the state’s 10 Electoral College votes be awarded to the winner of the nation-wide popular vote. This act does not take effect until enough other states agree to do the same to guarantee that the Electoral College chose the winner of the national popular vote.",,"http://mlis.state.md.us/2007rs/billfile/hb0148.htm"
"Voting and Elections","Voter registration","National Voter Registration Act Compliance","National Voter Registration Act (NVRA) Compliance","Public Assistance for Voter Registration Model Act",,,,2010,"Progressive States Network","http://www.progressivestates.org/",,"Model","State","Bill","http://www.progressivestates.org/sync/pdfs/MultiStateAgendaSiteDocuments/NationalVoterRegistrationAct-ModelLegislation.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/National_Voter_Registration_Act_Compliance_(NPVC)/ Public_Assistance_for_Voter_Registration_Model_Act.pdf",,"This bill encourages voter registration among low-income populations by including a voter registration form with benefits application forms, and providing assistance in completing such forms when meeting with a benefits case worker",,
"Voting and Elections","Voting and election reform","No-excuse absentee voting","No-Excuse Absentee Voting","No-Excuse Absentee and Early Voting Model Act",,,,2006,"Center for Policy Alternatives",,,"Model","State","Bill","http://www.cows.org/alice/documents/Democracy/No-excuseabsenteevoting/AbsenteeEarlyVoting.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/No-Excuse_Absentee_Voting/No-Excuse_Absentee_and_Early_Voting_Model_Act.pdf",,"This bill authorizes absentee and early voting. Absentee voting allows any duly registered citizen to cast an absentee ballot without requiring explanation of his or her desire to vote absentee. Early voting allows any duly registered citizen to cast a ballot at local election supervisors’ offices and designated satellite voting locations within a specified number of days prior to the election. Both policies remove obstacles to voting in ways that preserve the integrity of elections.",,
"Voting and Elections","Voter registration","Online voter registration","Online Voter Registration","Model Online Voter Registration Act of 2011",,,,2011,"Project Vote","http://www.projectvote.org/",,"Model","State","Bill","http://www.projectvote.org/images/publications/Advocacy%20Toolkits/Online%20Voter%20Registration/MODEL%20BILL-Online%20Voter%20Registration%20copy.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Online_Voter_Registration/Model_Online_Voter_Registration_Act_of_2011.pdf",,"This bill requires that the official public websites of the appropriate state and local election officials provide an online application for voter registration, online assistance to those applying to register to vote, online completion and submission by applicants of the voter registration application, and online receipt of completed voter registration applications.  This bill requires, among other things, that voters be allowed to update voter registration information online.",,
"Voting and Elections","Voter registration","Online voter registration","Online Voter Registration","2007 Washington Chapter 157",,,,2007,"Washington legislature","http://www.leg.wa.gov/pages/home.aspx","Washington","Exemplary","State","Act","http://apps.leg.wa.gov/documents/billdocs/2007-08/Pdf/Bills/Session%20Law%202007/1528.SL.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Online_Voter_Registration/2007_Washington_Chapter_157.pdf",,"This act allows a person with a Washington state driver's license or state identification card to register to vote online through the state's website.",,"http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1528&year=2007"
"Voting and Elections","financing/lobbying","Public financing of elections","Public Financing of Elections","Model California Campaign Reform Act of 2012",,,,2012,"Policy Archive","http://www.policyarchive.org/","California","Exemplary","State","Bill","http://policyarchive.org/handle/10207/bitstreams/96493.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Public_Financing_of_Elections/Model_California_Campaign_Reform_Act_of_2012.pdf",,"This bill requires candidates to raise a certain number of contributions ranging from 750 contributions of $5 or more for Assembly candidates, to 25,000 contributions of $5 or more for gubernatorial candidates. In addition, Assembly candidates must raise at least $25,000. Candidates for State Senate will have to raise twice as much as Assembly candidates. Gubernatorial candidates must raise at least $1.5 million. Other statewide candidates must raise at least 15,000 contributions totaling at least $250,000. Qualifying funds may only come from individuals who are residents of the state.",,
"Voting and Elections","financing/lobbying","Public financing of elections","Public Financing of Elections","2007 Arizona Chapter 277",,,,2007,"Arizona legislature ","http://www.azleg.gov/","Arizona","Exemplary","State","Act","http://www.azleg.gov/legtext/48leg/1r/laws/0277.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Public_Financing_of_Elections/2007_Arizona_Chapter_277.pdf",,"This act raises the amount that a non-participating candidate running for a non-statewide office can receive from political committees; requires candidates to file a report within one business day of receiving a contribution from a political committee; exempts any non-participating candidate who is not running against a participating candidate from certain listed requirements; subtracts certain amounts from the amount of matching monies paid during the primary to a participating candidate; provides matching monies during the general election period if the amount that a non-participating candidate has spent during the election cycle to date has exceeded the original general election spending limit; deducts expenditures made during the primary by an independent candidate or an unopposed non-participating candidate from the total amount of money raised for the purposes of determining matching monies, up to the amount of primary funds received by the participating candidate; removes members of the Supreme Court and the Commission on Appellate Court Appointments from the nomination process for members of the Citizens' Clean Election Commission (CCEC); establishes CCEC responsibilities related to public debates; and prohibits a participating candidate from accepting contributions to the candidate’s officeholder expense account from any lobbyist, designated public lobbyist or authorized public lobbyist.",,"http://www.azleg.gov//FormatDocument.asp?inDoc=/legtext/48leg/1r/bills/hb2690o.asp&Session_ID=85"
"Voting and Elections","financing/lobbying","Public financing of elections","Public Financing of Elections","1998 Massachusetts Chapter 394","Clean Elections Law",,,1998,"Massachusetts legislature","http://www.malegislature.gov/","Massachusetts","Exemplary","State","Act","http://www.malegislature.gov/Laws/SessionLaws/Acts/1998/Chapter394","www.alicelaw.org/Web_Folder/Voting_and_Elections/Public_Financing_of_Elections/1998_Massachusetts_Chapter_394.pdf",,"This act: creates a voluntary campaign finance system under which candidates for state office who agree to campaign spending limits, 100 contribution limits, and who raise a minimum number of small contributions can obtain partial public funding of their campaigns, starting with the 2002 election; and prohibits soft money contributions and requires candidates to electronically file disclosure reports and gives the public electronic access to the reports.",,
"Voting and Elections","financing/lobbying","Public financing of elections","Public Financing of Elections","2005 Connecticut Chapter 05-5 ",,,,2005,"Connecticut legislature","http://www.cga.ct.gov/","Connecticut ","Exemplary","State","Act","http://www.cga.ct.gov/2005/ACT/Pa/pdf/2005PA-00005-R00SB-02103SS3-PA.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Public_Financing_of_Elections/2005_Connecticut_Public_Law_05-5.pdf",,"This act establishes a system of public financing for election campaigns. Candidates who receive qualifying contributions, agree to limit their spending, and comply with other requirements are eligible to receive state grants to fund their campaigns. This act requires the State Elections Enforcement Commission (SEEC) to administer the program. It expands the SEEC’s other duties, including making it the repository for state candidates’ campaign finance statements. It also requires the SEEC to establish a pilot program to publicly finance municipal campaigns.  This act changes contribution limits to political campaigns. It bans contributions from certain contractors and lobbyists. Only candidates who do not participate in the public financing program are subject to the new limits. Those who participate are limited to qualifying contributions, personal funds, and state grants as funding sources for their campaigns.  This act establishes a Citizens’ Election Fund from which payments to participating candidates are made. The fund receives (1) proceeds from sales of abandoned property in the state’s custody; (2) voluntary contributions from individuals, businesses, organizations, party committees, and political committees (known as PACs); (3) contributions of surpluses from campaign committees, exploratory committees, and certain other committees that dissolve; and (4) its own investment earnings. In the case of a shortfall, it also receives corporation tax revenues. The state treasurer administers the fund, which is a separate, nonlapsing account in the General Fund. Grants paid to participating candidates from the fund are not considered public funds for any other purpose.  This act allows a person, business, organization, party committee, or PAC to contribute directly to the fund by sending a check or money order to the SEEC.",,"http://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&bill_num=SB02103&which_year=2005"
"Voting and Elections","financing/lobbying","Public financing of elections","Public Financing of Elections","2007 New York City Ordinance 586-A",,,,2007,"New York City Council","http://council.nyc.gov/html/home/home.shtml","New York","Exemplary","Municipal","Ordinance","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=447250&GUID=BD75E2DB-8F51-4C9E-A88C-5AD3EFDAA26B&Options=ID|Text|&Search=","www.alicelaw.org/Web_Folder/Voting_and_Elections/Public_Financing_of_Elections/2007_New_York_City_Ordinance_586-A.pdf",,,,"http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=447250&GUID=BD75E2DB-8F51-4C9E-A88C-5AD3EFDAA26B&Options=ID%7cText%7c&Search="
"Voting and Elections","financing/lobbying","Public financing of elections","Public Financing of Elections","2007 New York City Ordinance 651-A",,,,2007,"New York City Council","http://council.nyc.gov/html/home/home.shtml","New York","Exemplary","Municipal","Ordinance","http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=447817&GUID=D518E9B9-2C7A-433B-9EC2-4B9C6501C14C&Options=ID|Text|&Search=","www.alicelaw.org/Web_Folder/Voting_and_Elections/Public_Financing_of_Elections/2007_New_York_City_Ordinance_651-A.pdf",,,,"http://legistar.council.nyc.gov/LegislationDetail.aspx?ID=447817&GUID=D518E9B9-2C7A-433B-9EC2-4B9C6501C14C&Options=ID%7cText%7c&Search="
"Voting and Elections","financing/lobbying","Public financing of elections","Public Financing of Elections","2005 Albuquerque Ordinance 2005-105",,,,2005,"Albuquerque City Council","http://www.cabq.gov/council/","New Mexico","Exemplary","Municipal","Ordinance","http://cabq.legistar.com/LegislationDetail.aspx?ID=248749&GUID=F0780E5B-FBEF-4EAA-ADC3-96084DA003AB&Options=&Search=","www.alicelaw.org/Web_Folder/Voting_and_Elections/Public_Financing_of_Elections/2005_Albuquerque_Ordinance_2005-105.pdf",,,,"http://cabq.legistar.com/LegislationDetail.aspx?ID=248749&GUID=F0780E5B-FBEF-4EAA-ADC3-96084DA003AB&Options=&Search="
"Voting and Elections","Voter Rights","Re-enfranchise ex-felons","Re-Enfranchise Ex-Felons","Restoration of Voting Rights Model Act",,,,2006,"Brennan Center","http://www.brennancenter.org/",,"Model","State","Bill","http://www.brennancenter.org/page/-/d/download_file_48179.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Re-Enfranchise_Ex-Felons/Restoration_of_Voting_Rights_Model_Act.pdf",,"This bill restores the right to vote upon discharge from incarceration to an individual who has been disenfranchised due to a felony conviction.  This bill requires notification of the loss of the right to vote before a plea of guilty or nolo contendere to a felony and before imposing a felony sentence after trial and  notice of restoration of the right to vote upon discharge from incarceration.","Felon disenfranchisement",
"Voting and Elections","Voter Rights","Re-enfranchise ex-felons","Re-Enfranchise Ex-Felons","Model State Restoration of Voting Rights Act",,,,2007,"Center for Policy Alternatives",,,"Model","State","Bill","http://www.cows.org/alice/documents/Voting%20&%20Elections/Re-enfranchise%20ex-felons/CPA%20Felon%20Voting%20Rights%20Restoration.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Re-Enfranchise_Ex-Felons/Model_State_Restoration_of_Voting_Rights_Act.pdf",,"This bill restores the right to vote in a federal, state or municipal election to an individual convicted of a felony when that person has been discharged from confinement and provides that when a person is restored the right to vote, the Department of Corrections shall provide that person with a voter registration form, assistance in filling out the form, and a document certifying the person is eligible to vote. The Department of Corrections shall deliver completed voter registration forms to the appropriate registration agency. Before accepting a plea of guilty or nolo contendere to a felony, and before imposing a felony sentence after trial, the court shall notify the defendant that conviction will result in loss of the right to vote as long as the person is confined and that voting rights are restored upon discharge.","Felon disenfranchisement",
"Voting and Elections","Voter Rights","Re-enfranchise ex-felons","Re-Enfranchise Ex-Felons","2009 Washington Chapter 325",,,,2009,"Washington legislature","http://www.leg.wa.gov/pages/home.aspx","Washington","Exemplary","State","Act","http://apps.leg.wa.gov/documents/billdocs/2009-10/Pdf/Bills/House%20Passed%20Legislature/1517.PL.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Re-Enfranchise_Ex-felons/2009_Washington_Chapter_325.pdf",,"This act provisionally restores the right to vote to individuals convicted of felony offenses when such an individual is no longer under the authority of the Washington Department of Corrections, provides that the the sentencing court may revoke the provisional restoration of voting rights if the sentencing court determines that such a person has willfully failed to comply with the terms of his or her order to pay legal financial obligations, provides that if such a person's provisional restoration of voting rights have been revoked, the person's voting rights may be restored if, by motion, the person shows that he or she has made a good faith effort to pay the legal financial obligations.","Felon disenfranchisement","http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1517&year=2009"
"Voting and Elections","Voter Rights","Re-enfranchise ex-felons","Re-Enfranchise Ex-Felons","2006 Rhode Island Chapter 366","Rhode Island Restoration of Voting
Rights Act",,,2006,"Rhode Island legislature","http://www.rilin.state.ri.us/","Rhode Island","Exemplary","State","Act","http://www.rilin.state.ri.us/PublicLaws/law06/law06366.htm","www.alicelaw.org/Web_Folder/Voting_and_Elections/Re-Enfranchise_Ex-Felons/2006_Rhode_Island_Chapter_366.pdf",,"This act restores the right to vote to individuals convicted of felony offenses when such an individual is no longer under the incarcerated by the Rhode Island Department of Corrections, the Department of Corrections shall provide that person with a voter registration form, assistance in filling out the form, and a document certifying the person is eligible to vote. The Department of Corrections shall deliver completed voter registration forms to the appropriate registration agency. Before accepting a plea of guilty or nolo contendere to a felony, and before imposing a felony sentence after trial, the court shall notify the defendant that conviction will result in loss of the right to vote as long as the person is confined and that voting rights are restored upon discharge.","Felon disenfranchisement","http://www.rilin.state.ri.us/Billstatus06/S2301.PDF"
"Voting and Elections","Electoral districts","Redistricting reform","Redistricting Reform","Model State Redistricting Law",,,,,"Asian Pacific American Legal Center, California Common Cause, California 
League of Women Voters, Center for Governmental Studies and Demos.","http://www.apalc.org/, http://www.commoncause.org/site/pp.asp?c=dkLNK1MQIwG&b=4846185, http://ca.lwv.org/, http://www.cgs.org/, http://www.demos.org/","California","Model","State","Bill","http://policyarchive.org/handle/10207/bitstreams/96423.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Redistricting_Reform/Model_State_Redistricting_Law.pdf",,"This bill creates bipartisan committees, representative of the state population, to create voter districts and prevent partisan gerrymandering in order to encourage greater voter participation by giving voters greater confidence that their vote ""counts"" and to encourage more qualified candidates to run for office when they don't face a higher barrier to be elected where districts have been created to be partisan. ",,
"Voting and Elections","Electoral districts","Redistricting reform","Redistricting Reform","Model State Redistricting Reform Law",,,,,"Fair Vote","http://www.fairvote.org/",,"Model","State","Bill","http://www.fairvote.org/model-state-redistricting-reform-criteria/#.UCVwoU1lTal","www.alicelaw.org/Web_Folder/Voting_and_Elections/Redistricting_Reform/Model_State_Redistricting_Reform_Law.pdf",,"This bill creates a nonpartisan redistricting commission, representative of the diversity of the state, that is solely responsible for the development of a redistricting plan, including whether to create single member districts, multi-member districts with proportional voting systems, or some combination thereof.  In the creation of a redistricting plan the commission must, among other things, attempt to maximize representation and competitiveness in districts.  This bill also establishes basic requirements of a redistricting plans and procedures in the event that the House of Representatives or the Senate reject the commission's plan.",,
"Voting and Elections","Voter registration","Universal Voter Registration with Opt-Out Provision","Universal Voter Registration with Opt-Out Provision","Model Universal State Act for Voter Registration",,,,,"Fair Vote","http://www.fairvote.org/",,"Model","State","Bill","http://archive.fairvote.org/media/documents/universal_registration_memo.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Universal_Voter_Registration_with_Opt-Out_Provision/Model_Universal_State_Act_for_Voter_Registration.pdf",,"This bill requires all resident citizens who will be eligible to register to vote in the next general election to register to vote or to affirmatively decline to register to vote",,"https://www.revisor.mn.gov/revisor/pages/search_status/status_detail.php?b=Senate&f=SF1298&ssn=0&y=2007"
"Voting and Elections","Voter registration","Universal Voter Registration with Opt-Out Provision - Voter Registration Assistance Services ","Voter Registration Assistance Services","Model Public Assistance Voter Registration Act",,,,2010,"Progressive States Network","http://www.progressivestates.org/",,"Model","State","Bill","http://www.progressivestates.org/sync/pdfs/MultiStateAgendaSiteDocuments/NationalVoterRegistrationAct-ModelLegislation.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Voter_Registration_Assistance_Services/Model_Public_Assistance_Voter_Registration_Act.pdf",,"This bill requires the directors of each voter registration agency and the chief election official to jointly establish a program to provide voter registration services to individuals applying for or receiving government assistance or services, including providing a voter registration application and a voter notice form into each benefits application, recertification, and/or change of address notification, asking if the person would like to register to vote during interviews and meetings, providing assistance with voter registration forms, and collecting and forwarding completed forms onto the appropriate state official.  This bill also establishes procedures for transmission of completed voter registration forms and requirements for collection of data relating to through which agency a form was completed and for establishing a National Voting Rights Act Agency Coordinator.",,
"Voting and Elections","Voter registration","Universal Voter Registration with Opt-Out Provision - Youth voter registration","Youth Voter Registration","2010 Delaware Chapter 473",,,,2010,"Delaware legislature","http://legis.delaware.gov/","Delaware","Exemplary","State","Act","http://delcode.delaware.gov/sessionlaws/ga145/Chp473.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Youth_Voter_Registration/2010_Delaware_Chapter_473.pdf",,"This act allows 16 year olds to register to vote through the Division of Motor Vehicle at the time they first apply for their driver’s license.",,"http://legis.delaware.gov/lis/lis145.nsf/vwLegislation/HB+381?Opendocument"
"Voting and Elections","Voting and election reform","Voter list management reform/end unneeded ID requirements","Voter List Management","Voter Integrity Model Act",,,,2007,"Center for Policy Alternatives",,,"Model","State","Bill","http://www.cows.org/alice/documents/Voting%20&%20Elections/Electronic%20voter%20registration%20system/CPA%20Voter%20ID.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Voter_List_Management/Voter_Integrity_Model_Act.pdf",,"This bill requires that the voter registration lists kept by the state be more technologically sophisticated and accurate.  It requires, among other things, that the lists be uniform statewide, that data be collected from all levels of government and from all government agencies, that electronic connects between the state board of elections and local election supervisors be in real time, and that the state board of elections be connected electronically to the department of corrections, department of motor vehicles, and social security and disability agencies to ensure eligibility and  to send and receive voter registration applications electronically.  This  bill requires the creation and implementation of a system for voter purging, including connection to United States Postal Service to establish changes in address for registered voters, crosschecking voter list with death records, providing notice to an person before that person is removed from the voter list, and establishing minimum match standards (an exact match of: first, last and middle names; the social security number or other unique identification number; date of birth; and gender) for removing a person from the list.",,
"Voting and Elections","Voting and election reform","Voter list management reform/end unneeded ID requirements","Voter List Management","Voter List Maintenance Model Bill",,,,2007,"Project Vote","http://www.projectvote.org/",,"Model","State","Bill","http://www.projectvote.org/images/publications/Model%20Bills/List_Maintenance_Model_Bill.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Voter_List_Management/Voter_List_Maintenance_Model_Bill.pdf",,"This bill establishes a program to ensure the maintenance of an accurate and current voter registration list and to ensure that eligible voters are not removed from the list.  This bill only allows a  person name to be removed from the voter list if at least one of seven listed events take place, including a written request by the voter to be removed, the voter being adjudged incompetent, felony conviction of the voter, death of the voter, registration in another jurisdiction, multiple registrations,  and notification of change of address.",,
"Voting and Elections","Voter registration","Youth voter registration","Youth Voter Registration","Model Pre-registration Bill",,,,,"Project Vote","http://www.projectvote.org/",,"Model","State","Bill","http://www.projectvote.org/images/publications/Model%20Bills/Preregistration_Model_Bill_2010.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Youth_Voter_Registration/Model_Pre-registration_Bill.pdf",,"This bill authorizes individuals 16 years or old to pre-register to vote after which time registration to vote will be automatic on that person's 18th birthday.",,
"Voting and Elections","Voter registration","Youth voter registration","Youth Voter Registration","High School Voter Registration Model Act",,,,,"Project Vote","http://www.projectvote.org/",,"Model","State","Bill","http://www.projectvote.org/images/publications/Youth%20Voting/high_school_voter_registration_model_bill.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Youth_Voter_Registration/High_School_Voter_Registration-Model_Act.pdf",,"This bill requires the election clerk or official to contact every high school in the state in order to determine how many students are eligible or will be eligible to vote during the academic year and then distribute the appropriate amount of registration forms to each high school so that forms will always be available to eligible voters.  Public high schools are required to include a voter registration form in each senior registration packet, send completed forms to the appropriate authority, and conduct a voter education program during school hours at least eight weeks before a November election. ",,
"Voting and Elections","Voter registration","Youth voter registration","Youth Voter Registration","2008 Louisiana Chapter 310",,,,2008,"Louisiana Legislature","http://www.legis.state.la.us/"," Louisiana","Exemplary","State","Act","http://legis.la.gov/billdata/streamdocument.asp?did=499930","www.alicelaw.org/Web_Folder/Voting_and_Elections/Youth_Voter_Registration/2008_Louisiana_Act_310.pdf",,"This act designates the office of a public secondary school guidance counselor, among others, as a voter registration agency.",,"http://www.legis.state.la.us/billdata/History.asp?sessionid=08RS&billid=HB990"
"Voting and Elections","Voter registration","Youth voter registration","Youth Voter Registration","2010 Maryland Chapter 270",,,,2012,"Maryland legislature","http://mlis.state.md.us/","Maryland","Exemplary","State","Act","http://mlis.state.md.us/2010rs/chapters_noln/Ch_270_sb0292T.pdf","www.alicelaw.org/Web_Folder/Voting_and_Elections/Youth_Voter_Registration/2010_Maryland_Chapter_270.pdf",,"This act allows a person to register to vote on that person's 16th birthday and allows a person who is at least 16 years old to vote in a primary election but no other elections. ",,"http://mlis.state.md.us/2010rs/billfile/sb0292.htm"
